molecule_id,MolWt,LogP,HBA,HBD
MOL_0001,434.97,3.08,6,1
MOL_0002,251.35,0.87,4,1
MOL_0003,353.16,3.65,3,3
MOL_0004,492.59,4.09,9,2
MOL_0005,485.38,3.7,6,2
MOL_0006,410.64,5.45,2,3
MOL_0007,447.54,1.67,4,4
MOL_0008,566.45,5.35,7,2
MOL_0009,366.43,1.9,8,0
MOL_0010,202.21,-2.14,3,3
MOL_0011,440.47,2.85,5,2
MOL_0012,464.64,4.06,5,0
MOL_0013,384.39,3.22,6,2
MOL_0014,479.57,2.65,9,1
MOL_0015,398.89,2.95,4,4
MOL_0016,318.42,0.17,5,1
MOL_0017,351.45,4.62,4,1
MOL_0018,218.26,2.0,5,1
MOL_0019,336.34,3.73,3,3
MOL_0020,382.53,4.6,5,1
MOL_0021,540.67,8.05,6,2
MOL_0022,437.48,1.9,9,2
MOL_0023,421.48,3.62,7,1
MOL_0024,375.37,1.61,8,4
MOL_0025,344.48,2.91,5,0
MOL_0026,266.37,1.18,6,1
MOL_0027,533.43,7.28,4,2
MOL_0028,260.2,2.53,4,0
MOL_0029,354.46,1.54,7,3
MOL_0030,366.42,5.34,5,1
MOL_0031,326.74,3.67,3,2
MOL_0032,428.49,2.8,6,2
MOL_0033,423.5,4.71,7,3
MOL_0034,502.61,7.46,4,1
MOL_0035,262.31,3.64,1,2
MOL_0036,332.19,4.28,4,1
MOL_0037,305.34,3.18,4,2
MOL_0038,251.33,1.43,5,1
MOL_0039,518.45,3.91,6,1
MOL_0040,350.46,1.58,4,0
MOL_0041,458.54,0.65,7,2
MOL_0042,378.48,3.59,3,2
MOL_0043,343.47,3.69,2,2
MOL_0044,343.47,1.83,4,0
MOL_0045,205.22,-0.37,5,2
MOL_0046,289.38,4.32,2,1
MOL_0047,75.11,-0.67,2,2
MOL_0048,328.41,4.31,4,0
MOL_0049,307.36,2.41,6,2
MOL_0050,395.48,2.95,3,1
MOL_0051,419.49,2.38,7,1
MOL_0052,476.47,3.23,9,2
MOL_0053,365.03,4.22,3,0
MOL_0054,404.5,4.75,6,3
MOL_0055,553.66,5.79,6,5
MOL_0056,461.42,5.81,6,2
MOL_0057,358.45,0.78,5,2
MOL_0058,275.38,2.15,4,1
MOL_0059,193.25,0.81,3,0
MOL_0060,561.65,6.72,4,2
MOL_0061,398.42,5.17,6,1
MOL_0062,202.21,2.08,2,2
MOL_0063,330.34,2.42,6,3
MOL_0064,341.75,2.58,4,1
MOL_0065,353.43,4.02,4,1
MOL_0066,317.82,4.18,3,1
MOL_0067,373.48,2.26,5,2
MOL_0068,391.29,5.36,3,1
MOL_0069,219.24,1.25,4,2
MOL_0070,401.46,4.65,4,2
MOL_0071,381.28,3.03,5,1
MOL_0072,412.41,1.16,6,1
MOL_0073,358.52,5.21,3,1
MOL_0074,441.6,3.64,5,3
MOL_0075,388.46,3.54,5,3
MOL_0076,348.36,2.43,7,0
MOL_0077,262.26,0.51,4,1
MOL_0078,484.51,4.11,8,0
MOL_0079,425.92,0.49,5,1
MOL_0080,468.49,4.58,6,1
MOL_0081,504.58,3.52,7,2
MOL_0082,318.33,2.94,6,0
MOL_0083,306.24,3.53,3,2
MOL_0084,348.4,-0.04,7,0
MOL_0085,175.19,1.97,3,1
MOL_0086,287.29,2.81,3,1
MOL_0087,421.88,5.53,5,0
MOL_0088,520.59,5.83,6,2
MOL_0089,255.28,3.03,3,2
MOL_0090,322.46,3.44,4,1
MOL_0091,348.32,4.72,3,1
MOL_0092,287.29,2.74,3,2
MOL_0093,274.35,1.92,3,3
MOL_0094,466.28,4.97,8,3
MOL_0095,309.79,2.16,3,2
MOL_0096,451.95,5.4,4,3
MOL_0097,480.98,4.51,8,1
MOL_0098,507.52,4.77,6,0
MOL_0099,454.4,4.52,5,0
MOL_0100,230.11,-2.62,6,5
MOL_0101,357.46,4.37,6,1
MOL_0102,397.9,4.41,4,3
MOL_0103,272.78,2.97,5,0
MOL_0104,411.47,4.19,4,3
MOL_0105,348.42,2.6,7,1
MOL_0106,335.19,3.37,2,0
MOL_0107,457.44,4.54,5,3
MOL_0108,392.34,4.01,7,0
MOL_0109,338.41,4.13,4,1
MOL_0110,432.44,2.21,9,1
MOL_0111,321.38,2.88,3,1
MOL_0112,281.42,2.43,3,0
MOL_0113,331.17,4.17,4,0
MOL_0114,423.49,3.48,5,2
MOL_0115,336.4,3.18,6,2
MOL_0116,351.45,3.92,2,2
MOL_0117,448.43,3.79,7,1
MOL_0118,215.3,2.21,3,1
MOL_0119,444.35,3.65,7,2
MOL_0120,312.37,2.33,6,1
MOL_0121,271.4,3.05,3,1
MOL_0122,255.28,1.69,6,1
MOL_0123,292.77,3.11,3,1
MOL_0124,269.28,2.73,4,1
MOL_0125,256.3,2.89,3,2
MOL_0126,378.48,3.43,4,2
MOL_0127,366.37,3.8,5,2
MOL_0128,349.78,0.69,7,2
MOL_0129,452.82,5.62,4,1
MOL_0130,279.26,0.87,6,2
MOL_0131,314.39,1.21,5,1
MOL_0132,281.36,2.53,4,1
MOL_0133,240.27,2.46,3,2
MOL_0134,310.4,2.84,4,0
MOL_0135,297.14,3.15,3,1
MOL_0136,359.39,2.95,8,1
MOL_0137,388.25,5.61,3,2
MOL_0138,306.37,4.52,3,1
MOL_0139,379.46,4.32,5,2
MOL_0140,340.41,1.49,6,1
MOL_0141,345.4,4.99,3,0
MOL_0142,223.28,3.04,3,0
MOL_0143,114.21,2.09,1,0
MOL_0144,341.41,1.26,5,0
MOL_0145,469.63,5.4,5,5
MOL_0146,422.45,3.07,9,2
MOL_0147,285.38,1.8,4,2
MOL_0148,278.39,4.39,2,1
MOL_0149,284.4,3.78,2,2
MOL_0150,265.31,1.54,4,2
MOL_0151,246.33,1.95,3,1
MOL_0152,328.41,3.6,4,0
MOL_0153,215.32,3.56,2,1
MOL_0154,298.3,3.82,4,2
MOL_0155,363.39,4.27,2,2
MOL_0156,423.49,4.42,6,2
MOL_0157,382.46,3.13,4,1
MOL_0158,284.32,1.8,4,1
MOL_0159,357.33,5.79,4,0
MOL_0160,335.33,2.47,4,2
MOL_0161,187.2,2.24,2,1
MOL_0162,139.2,-0.19,3,1
MOL_0163,333.19,2.92,5,1
MOL_0164,610.42,3.02,9,5
MOL_0165,219.23,1.01,2,1
MOL_0166,416.37,5.12,3,1
MOL_0167,299.33,2.32,6,2
MOL_0168,314.3,2.35,4,0
MOL_0169,394.48,2.43,4,2
MOL_0170,188.14,-2.21,4,4
MOL_0171,275.35,3.1,3,0
MOL_0172,321.2,3.07,3,1
MOL_0173,511.16,6.16,6,3
MOL_0174,414.39,5.14,6,0
MOL_0175,246.4,2.55,2,1
MOL_0176,343.47,4.95,3,1
MOL_0177,351.41,1.2,7,0
MOL_0178,214.31,1.61,3,1
MOL_0179,298.3,1.9,6,1
MOL_0180,272.74,3.41,2,1
MOL_0181,225.34,3.82,1,1
MOL_0182,383.51,5.39,5,1
MOL_0183,504.67,8.25,5,1
MOL_0184,347.38,3.07,6,1
MOL_0185,384.48,1.66,6,1
MOL_0186,301.34,2.42,5,3
MOL_0187,369.39,1.97,6,1
MOL_0188,428.33,3.94,3,4
MOL_0189,261.35,2.93,4,0
MOL_0190,272.31,1.97,6,1
MOL_0191,316.7,1.62,3,0
MOL_0192,341.2,4.57,4,1
MOL_0193,454.17,3.96,3,1
MOL_0194,216.33,2.64,2,0
MOL_0195,323.44,0.61,6,2
MOL_0196,450.29,6.93,1,2
MOL_0197,230.24,2.66,2,2
MOL_0198,433.9,4.55,3,1
MOL_0199,247.33,2.0,6,2
MOL_0200,211.31,0.03,3,1
